cluster_key,cluster_size,review_verdict,max_description_similarity,same_country,match_basis,merged_by_pipeline,source_row_id,company_name,company_name_normalized,domain,linkedin_company_url,locality,country,employee_range,revenue_band,description_excerpt
parentsquare||,9,likely_same_company,0.566,True,normalized_name + locality,no - kept separate pending review,107619,ParentSquare,parentsquare,gabbarthost.com,,,,,1M-5M,
presscentric||,2,likely_same_company,0.639,True,normalized_name + locality,no - kept separate pending review,6956,PressCentric,presscentric,patioprinting.com,,,,,,
presscentric||,2,likely_same_company,0.639,True,normalized_name + locality,no - kept separate pending review,8522,PressCentric,presscentric,coxprinting.com,,,,,0-500K,
saic||,3,likely_same_company,0.957,True,normalized_name + locality,no - kept separate pending review,99535,SAIC,saic,forterrainc.com,,,,,0-500K,
saic||,3,likely_same_company,0.957,True,normalized_name + locality,no - kept separate pending review,134880,SAIC,saic,spectrumsdi.com,,,,,500K-1M,
saic||,3,likely_same_company,0.957,True,normalized_name + locality,no - kept separate pending review,136215,SAIC,saic,scitorcorporation.com,,,,,0-500K,
sikich||,5,likely_same_company,0.614,True,normalized_name + locality,no - kept separate pending review,101877,Sikich,sikich,reynoldsgroup.com,,,,,0-500K,
sikich||,5,likely_same_company,0.614,True,normalized_name + locality,no - kept separate pending review,103900,Sikich,sikich,thornhillcpa.com,,,,,500K-1M,
sikich||,5,likely_same_company,0.614,True,normalized_name + locality,no - kept separate pending review,104404,Sikich,sikich,srpc-cpa.com,,,,,10M-25M,
sikich||,5,likely_same_company,0.614,True,normalized_name + locality,no - kept separate pending review,106641,Sikich,sikich,kolbco.com,,,,,,
sikich||,5,likely_same_company,0.614,True,normalized_name + locality,no - kept separate pending review,107055,Sikich,sikich,icondigitaldesign.com,,,,,0-500K,
slice||,9,likely_same_company,0.661,True,normalized_name + locality,no - kept separate pending review,64630,Slice,slice,orderwestbroadwaypizza.com,,,,,,
slice||,9,likely_same_company,0.661,True,normalized_name + locality,no - kept separate pending review,65192,Slice,slice,myleospizza.com,,,,,1M-5M,
slice||,9,likely_same_company,0.661,True,normalized_name + locality,no - kept separate pending review,65593,Slice,slice,marlucasmenu.com,,,,,,
slice||,9,likely_same_company,0.661,True,normalized_name + locality,no - kept separate pending review,66232,Slice,slice,italianpizzaonu.com,,,,,1M-5M,
slice||,9,likely_same_company,0.661,True,normalized_name + locality,no - kept separate pending review,72013,Slice,slice,thesquaredeli.com,,,,,1M-5M,
slice||,9,likely_same_company,0.661,True,normalized_name + locality,no - kept separate pending review,76599,Slice,slice,pittsburghpizzapubmenu.com,,,,,,
slice||,9,likely_same_company,0.661,True,normalized_name + locality,no - kept separate pending review,78982,Slice,slice,milliesburgerssteaksshakes.com,,,,,500K-1M,
